doc_id,author,title,part_id,n_words,text
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,21,261,"Little Tommy Barnes was asleep now, and when they waked him up he was
scared, and cried, and said he wanted to go home to his ma, and didn’t
want to be a robber any more.

 So they all made fun of him, and called him cry-baby, and that made him
mad, and he said he would go straight and tell all the secrets. But Tom
give him five cents to keep quiet, and said we would all go home and
meet next week, and rob somebody and kill some people.

 Ben Rogers said he couldn’t get out much, only Sundays, and so he
wanted to begin next Sunday; but all the boys said it would be wicked
to do it on Sunday, and that settled the thing. They agreed to get
together and fix a day as soon as they could, and then we elected Tom
Sawyer first captain and Jo Harper second captain of the Gang, and so
started home.

 I clumb up the shed and crept into my window just before day was
breaking. My new clothes was all greased up and clayey, and I was
dog-tired.

CHAPTER III.

 Well, I got a good going-over in the morning from old Miss Watson on
account of my clothes; but the widow she didn’t scold, but only cleaned
off the grease and clay, and looked so sorry that I thought I would
behave a while if I could. Then Miss Watson she took me in the closet
and prayed, but nothing come of it."
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,238,219,"The stores and houses was most
all old shackly dried-up frame concerns that hadn’t ever been painted;
they was set up three or four foot above ground on stilts, so as to be
out of reach of the water when the river was overflowed. The houses had
little gardens around them, but they didn’t seem to raise hardly
anything in them but jimpson weeds, and sunflowers, and ash-piles, and
old curled-up boots and shoes, and pieces of bottles, and rags, and
played-out tin-ware. The fences was made of different kinds of boards,
nailed on at different times; and they leaned every which-way, and had
gates that didn’t generly have but one hinge—a leather one. Some of the
fences had been whitewashed, some time or another, but the duke said it
was in Clumbus’s time, like enough. There was generly hogs in the
garden, and people driving them out.

 All the stores was along one street. They had white domestic awnings in
front, and the country people hitched their horses to the awning-posts.
 There was empty drygoods boxes under the awnings, and loafers roosting
on them all day long, whittling them with their Barlow knives; and
chawing tobacco, and gaping and yawning and stretching—a mighty ornery
lot."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,293,234,"Clarence's way was good, it was simple,
it was dignified, it was direct and business-like; all I say is,
it was not the best way:

 COURT CIRCULAR.

  On Monday, the king rode in the park.
  “ Tuesday, “ “ ”
 “ Wendesday “ “ ”
 “ Thursday “ “ ”
 “ Friday, “ “ ”
 “ Saturday “ “ ”
 “ Sunday, “ “ ”

However, take the paper by and large, I was vastly pleased with it.
 Little crudities of a mechanical sort were observable here and
there, but there were not enough of them to amount to anything,
and it was good enough Arkansas proof-reading, anyhow, and better
than was needed in Arthur's day and realm. As a rule, the grammar
was leaky and the construction more or less lame; but I did not
much mind these things. They are common defects of my own, and
one mustn't criticise other people on grounds where he can't stand
perpendicular himself.

 I was hungry enough for literature to want to take down the whole
paper at this one meal, but I got only a few bites, and then had
to postpone, because the monks around me besieged me so with eager
questions: What is this curious thing? What is it for? Is it a
handkerchief?--saddle blanket?--part of a shirt? What is it made of?
 How thin it is, and how dainty and frail; and how it rattles.
 Will it wear, do you think, and won't the rain injure it?"
Jane Austen::Sense and Sensibility,Jane Austen,Sense and Sensibility,266,244,"“You have probably entirely forgotten a conversation—(it is not to be
supposed that it could make any impression on you)—a conversation
between us one evening at Barton Park—it was the evening of a dance—in
which I alluded to a lady I had once known, as resembling, in some
measure, your sister Marianne.”

“Indeed,” answered Elinor, “I have _not_ forgotten it.” He looked
pleased by this remembrance, and added,

“If I am not deceived by the uncertainty, the partiality of tender
recollection, there is a very strong resemblance between them, as well
in mind as person. The same warmth of heart, the same eagerness of
fancy and spirits. This lady was one of my nearest relations, an orphan
from her infancy, and under the guardianship of my father. Our ages
were nearly the same, and from our earliest years we were playfellows
and friends. I cannot remember the time when I did not love Eliza; and
my affection for her, as we grew up, was such, as perhaps, judging from
my present forlorn and cheerless gravity, you might think me incapable
of having ever felt. Hers, for me, was, I believe, fervent as the
attachment of your sister to Mr. Willoughby and it was, though from a
different cause, no less unfortunate. At seventeen she was lost to me
for ever. She was married—married against her inclination to my
brother. Her fortune was large, and our family estate much encumbered."
Jane Austen::Sense and Sensibility,Jane Austen,Sense and Sensibility,493,249,"I felt that I admired you, but I told myself it was only
friendship; and till I began to make comparisons between yourself and
Lucy, I did not know how far I was got. After that, I suppose, I _was_
wrong in remaining so much in Sussex, and the arguments with which I
reconciled myself to the expediency of it, were no better than
these:—The danger is my own; I am doing no injury to anybody but
myself.”

 Elinor smiled, and shook her head.

 Edward heard with pleasure of Colonel Brandon’s being expected at the
Cottage, as he really wished not only to be better acquainted with him,
but to have an opportunity of convincing him that he no longer resented
his giving him the living of Delaford—“Which, at present,” said he,
“after thanks so ungraciously delivered as mine were on the occasion,
he must think I have never forgiven him for offering.”

 _Now_ he felt astonished himself that he had never yet been to the
place. But so little interest had he taken in the matter, that he owed
all his knowledge of the house, garden, and glebe, extent of the
parish, condition of the land, and rate of the tithes, to Elinor
herself, who had heard so much of it from Colonel Brandon, and heard it
with so much attention, as to be entirely mistress of the subject.

 One question after this only remained undecided, between them, one
difficulty only was to be overcome."
Mark Twain::The Adventures of Tom Sawyer,Mark Twain,The Adventures of Tom Sawyer,304,222,"“Now, Mr. Siddy, you jist ’tend to your own business. What’s all this
blowout about, anyway?”

“It’s one of the widow’s parties that she’s always having. This time
it’s for the Welshman and his sons, on account of that scrape they
helped her out of the other night. And say—I can tell you something, if
you want to know.”

“Well, what?”

“Why, old Mr. Jones is going to try to spring something on the people
here tonight, but I overheard him tell auntie today about it, as a
secret, but I reckon it’s not much of a secret now. Everybody knows—the
widow, too, for all she tries to let on she don’t. Mr. Jones was bound
Huck should be here—couldn’t get along with his grand secret without
Huck, you know!”

 “Secret about what, Sid?”

“About Huck tracking the robbers to the widow’s. I reckon Mr. Jones was
going to make a grand time over his surprise, but I bet you it will drop
pretty flat.”

 Sid chuckled in a very contented and satisfied way.

 “Sid, was it you that told?”

“Oh, never mind who it was. _ Somebody_ told—that’s enough.”

 “Sid, there’s only one person in this town mean enough to do that, and
that’s you."
Jane Austen::Emma,Jane Austen,Emma,82,234,"But I could not reason so to a man in love, and was willing to
trust to there being no harm in her, to her having that sort of
disposition, which, in good hands, like his, might be easily led aright
and turn out very well. The advantage of the match I felt to be all on
her side; and had not the smallest doubt (nor have I now) that there
would be a general cry-out upon her extreme good luck. Even _your_
satisfaction I made sure of. It crossed my mind immediately that you
would not regret your friend’s leaving Highbury, for the sake of her
being settled so well. I remember saying to myself, ‘Even Emma, with
all her partiality for Harriet, will think this a good match.’”

“I cannot help wondering at your knowing so little of Emma as to say
any such thing. What! think a farmer, (and with all his sense and all
his merit Mr. Martin is nothing more,) a good match for my intimate
friend! Not regret her leaving Highbury for the sake of marrying a man
whom I could never admit as an acquaintance of my own! I wonder you
should think it possible for me to have such feelings. I assure you
mine are very different. I must think your statement by no means fair.
 You are not just to Harriet’s claims."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,196,196,"Lady Lucas could not be insensible of triumph on being able to retort on
Mrs. Bennet the comfort of having a daughter well married; and she
called at Longbourn rather oftener than usual to say how happy she was,
though Mrs. Bennet’s sour looks and ill-natured remarks might have been
enough to drive happiness away.

 Between Elizabeth and Charlotte there was a restraint which kept them
mutually silent on the subject; and Elizabeth felt persuaded that no
real confidence could ever subsist between them again. Her
disappointment in Charlotte made her turn with fonder regard to her
sister, of whose rectitude and delicacy she was sure her opinion could
never be shaken, and for whose happiness she grew daily more anxious, as
Bingley had now been gone a week, and nothing was heard of his return.

 Jane had sent Caroline an early answer to her letter, and was counting
the days till she might reasonably hope to hear again. The promised
letter of thanks from Mr. Collins arrived on Tuesday, addressed to their
father, and written with all the solemnity of gratitude which a
twelve-month’s abode in the family might have prompted."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,385,240,"The three gathered themselves up and
came again; went down again; came again; and kept on repeating
this, with native British pluck, until they were battered to jelly,
reeling with exhaustion, and so blind that they couldn't tell us
from each other; and yet they kept right on, hammering away with
what might was left in them. Hammering each other--for we stepped
aside and looked on while they rolled, and struggled, and gouged,
and pounded, and bit, with the strict and wordless attention to
business of so many bulldogs. We looked on without apprehension,
for they were fast getting past ability to go for help against us,
and the arena was far enough from the public road to be safe
from intrusion.

 Well, while they were gradually playing out, it suddenly occurred
to me to wonder what had become of Marco. I looked around; he
was nowhere to be seen. Oh, but this was ominous! I pulled the
king's sleeve, and we glided away and rushed for the hut. No Marco
there, no Phyllis there! They had gone to the road for help, sure.
 I told the king to give his heels wings, and I would explain later.
 We made good time across the open ground, and as we darted into
the shelter of the wood I glanced back and saw a mob of excited
peasants swarm into view, with Marco and his wife at their head."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,14,158,"In the town were some substantial windowless houses of stone
scattered among a wilderness of thatched cabins; the streets were
mere crooked alleys, and unpaved; troops of dogs and nude children
played in the sun and made life and noise; hogs roamed and rooted
contentedly about, and one of them lay in a reeking wallow in
the middle of the main thoroughfare and suckled her family.
 Presently there was a distant blare of military music; it came
nearer, still nearer, and soon a noble cavalcade wound into view,
glorious with plumed helmets and flashing mail and flaunting banners
and rich doublets and horse-cloths and gilded spearheads; and
through the muck and swine, and naked brats, and joyous dogs, and
shabby huts, it took its gallant way, and in its wake we followed.
 Followed through one winding alley and then another,--and climbing,
always climbing--till at last we gained the breezy height where
the huge castle stood."
Jane Austen::Sense and Sensibility,Jane Austen,Sense and Sensibility,173,220,"Did you think he
came directly from town?”

“No,” replied Elinor, most feelingly sensible of every fresh
circumstance in favour of Lucy’s veracity; “I remember he told us, that
he had been staying a fortnight with some friends near Plymouth.” She
remembered too, her own surprise at the time, at his mentioning nothing
farther of those friends, at his total silence with respect even to
their names.

 “Did not you think him sadly out of spirits?” repeated Lucy.

 “We did, indeed, particularly so when he first arrived.”

“I begged him to exert himself for fear you should suspect what was the
matter; but it made him so melancholy, not being able to stay more than
a fortnight with us, and seeing me so much affected. Poor fellow! I am
afraid it is just the same with him now; for he writes in wretched
spirits. I heard from him just before I left Exeter;” taking a letter
from her pocket and carelessly showing the direction to Elinor. “You
know his hand, I dare say,—a charming one it is; but that is not
written so well as usual. He was tired, I dare say, for he had just
filled the sheet to me as full as possible.”

 Elinor saw that it _was_ his hand, and she could doubt no longer."
Jane Austen::Emma,Jane Austen,Emma,206,240,"He may have as strong a sense of what would be right,
as you can have, without being so equal, under particular
circumstances, to act up to it.”

 “Then it would not be so strong a sense. If it failed to produce equal
exertion, it could not be an equal conviction.”

 “Oh, the difference of situation and habit! I wish you would try to
understand what an amiable young man may be likely to feel in directly
opposing those, whom as child and boy he has been looking up to all his
life.”

 “Our amiable young man is a very weak young man, if this be the first
occasion of his carrying through a resolution to do right against the
will of others. It ought to have been a habit with him by this time, of
following his duty, instead of consulting expediency. I can allow for
the fears of the child, but not of the man. As he became rational, he
ought to have roused himself and shaken off all that was unworthy in
their authority. He ought to have opposed the first attempt on their
side to make him slight his father. Had he begun as he ought, there
would have been no difficulty now.”

 “We shall never agree about him,” cried Emma; “but that is nothing
extraordinary. I have not the least idea of his being a weak young man:
I feel sure that he is not."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,72,254,"Bingley urged Mr. Jones’s being sent for
immediately; while his sisters, convinced that no country advice could
be of any service, recommended an express to town for one of the most
eminent physicians. This she would not hear of; but she was not so
unwilling to comply with their brother’s proposal; and it was settled
that Mr. Jones should be sent for early in the morning, if Miss Bennet
were not decidedly better. Bingley was quite uncomfortable; his sisters
declared that they were miserable. They solaced their wretchedness,
however, by duets after supper; while he could find no better relief to
his feelings than by giving his housekeeper directions that every
possible attention might be paid to the sick lady and her sister.

 [Illustration:

M^{rs} Bennet and her two youngest girls

 [_Copyright 1894 by George Allen._]]

CHAPTER IX.

 [Illustration]

Elizabeth passed the chief of the night in her sister’s room, and in the
morning had the pleasure of being able to send a tolerable answer to the
inquiries which she very early received from Mr. Bingley by a housemaid,
and some time afterwards from the two elegant ladies who waited on his
sisters. In spite of this amendment, however, she requested to have a
note sent to Longbourn, desiring her mother to visit Jane, and form her
own judgment of her situation. The note was immediately despatched, and
its contents as quickly complied with. Mrs. Bennet, accompanied by her
two youngest girls, reached Netherfield soon after the family breakfast."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,124,249,"It seemed
to me that what the nine hundred and ninety-four dupes needed was
a new deal. The thing that would have best suited the circus side
of my nature would have been to resign the Boss-ship and get up
an insurrection and turn it into a revolution; but I knew that the
Jack Cade or the Wat Tyler who tries such a thing without first
educating his materials up to revolution grade is almost absolutely
certain to get left. I had never been accustomed to getting left,
even if I do say it myself. Wherefore, the “deal” which had been
for some time working into shape in my mind was of a quite different
pattern from the Cade-Tyler sort.

 So I did not talk blood and insurrection to that man there who sat
munching black bread with that abused and mistaught herd of human
sheep, but took him aside and talked matter of another sort to him.
 After I had finished, I got him to lend me a little ink from his
veins; and with this and a sliver I wrote on a piece of bark--

 _Put him in the Man-factory_--

and gave it to him, and said:

“Take it to the palace at Camelot and give it into the hands of
Amyas le Poulet, whom I call Clarence, and he will understand.”

 “He is a priest, then,” said the man, and some of the enthusiasm
went out of his face.

 “How--a priest?"
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,189,250,"They was all a-horseback; he lit off of his horse and got
behind a little woodpile, and kep’ his horse before him to stop the
bullets; but the Grangerfords stayed on their horses and capered around
the old man, and peppered away at him, and he peppered away at them.
 Him and his horse both went home pretty leaky and crippled, but the
Grangerfords had to be _fetched_ home—and one of ’em was dead, and
another died the next day. No, sir; if a body’s out hunting for cowards
he don’t want to fool away any time amongst them Shepherdsons, becuz
they don’t breed any of that _kind_.”

 Next Sunday we all went to church, about three mile, everybody
a-horseback. The men took their guns along, so did Buck, and kept them
between their knees or stood them handy against the wall. The
Shepherdsons done the same. It was pretty ornery preaching—all about
brotherly love, and such-like tiresomeness; but everybody said it was a
good sermon, and they all talked it over going home, and had such a
powerful lot to say about faith and good works and free grace and
preforeordestination, and I don’t know what all, that it did seem to me
to be one of the roughest Sundays I had run across yet.

 About an hour after dinner everybody was dozing around, some in their
chairs and some in their rooms, and it got to be pretty dull."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,88,249,"All mines were royal property, and there were a good many of them.
 They had formerly been worked as savages always work mines--holes
grubbed in the earth and the mineral brought up in sacks of hide by
hand, at the rate of a ton a day; but I had begun to put the mining
on a scientific basis as early as I could.

 Yes, I had made pretty handsome progress when Sir Sagramor's
challenge struck me.

 Four years rolled by--and then! Well, you would never imagine
it in the world. Unlimited power is the ideal thing when it is in
safe hands. The despotism of heaven is the one absolutely perfect
government. An earthly despotism would be the absolutely perfect
earthly government, if the conditions were the same, namely, the
despot the perfectest individual of the human race, and his lease
of life perpetual. But as a perishable perfect man must die, and
leave his despotism in the hands of an imperfect successor, an
earthly despotism is not merely a bad form of government, it is
the worst form that is possible.

 My works showed what a despot could do with the resources of
a kingdom at his command. Unsuspected by this dark land, I had
the civilization of the nineteenth century booming under its very
nose! It was fenced away from the public view, but there it was,
a gigantic and unassailable fact--and to be heard from, yet, if
I lived and had luck."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,179,234,"She highly approved his forbearance; and they had leisure for a full
discussion of it, and for all the commendations which they civilly
bestowed on each other, as Wickham and another officer walked back with
them to Longbourn, and during the walk he particularly attended to her.
 His accompanying them was a double advantage: she felt all the
compliment it offered to herself; and it was most acceptable as an
occasion of introducing him to her father and mother.

 [Illustration: “Walked back with them”

 [_Copyright 1894 by George Allen._]]

Soon after their return, a letter was delivered to Miss Bennet; it came
from Netherfield, and was opened immediately. The envelope contained a
sheet of elegant, little, hot-pressed paper, well covered with a lady’s
fair, flowing hand; and Elizabeth saw her sister’s countenance change as
she read it, and saw her dwelling intently on some particular passages.
 Jane recollected herself soon; and putting the letter away, tried to
join, with her usual cheerfulness, in the general conversation: but
Elizabeth felt an anxiety on the subject which drew off her attention
even from Wickham; and no sooner had he and his companion taken leave,
than a glance from Jane invited her to follow her upstairs. When they
had gained their own room, Jane, taking out her letter, said, “This is
from Caroline Bingley: what it contains has surprised me a good deal."
Jane Austen::Sense and Sensibility,Jane Austen,Sense and Sensibility,458,237,"On the
contrary, with a mind and body alike strengthened by rest, she looked
and spoke with more genuine spirit, anticipating the pleasure of
Margaret’s return, and talking of the dear family party which would
then be restored, of their mutual pursuits and cheerful society, as the
only happiness worth a wish.

 “When the weather is settled, and I have recovered my strength,” said
she, “we will take long walks together every day. We will walk to the
farm at the edge of the down, and see how the children go on; we will
walk to Sir John’s new plantations at Barton Cross, and the Abbeyland;
and we will often go to the old ruins of the Priory, and try to trace
its foundations as far as we are told they once reached. I know we
shall be happy. I know the summer will pass happily away. I mean never
to be later in rising than six, and from that time till dinner I shall
divide every moment between music and reading. I have formed my plan,
and am determined to enter on a course of serious study. Our own
library is too well known to me, to be resorted to for any thing beyond
mere amusement. But there are many works well worth reading at the
Park; and there are others of more modern production which I know I can
borrow of Colonel Brandon."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,114,249,"Only a little while back, when I was riding and
suffering, what a heaven this peace, this rest, this sweet serenity
in this secluded shady nook by this purling stream would have
seemed, where I could keep perfectly comfortable all the time
by pouring a dipper of water into my armor now and then; yet
already I was getting dissatisfied; partly because I could not
light my pipe--for, although I had long ago started a match factory,
I had forgotten to bring matches with me--and partly because we
had nothing to eat. Here was another illustration of the childlike
improvidence of this age and people. A man in armor always trusted
to chance for his food on a journey, and would have been scandalized
at the idea of hanging a basket of sandwiches on his spear. There
was probably not a knight of all the Round Table combination who
would not rather have died than been caught carrying such a thing
as that on his flagstaff. And yet there could not be anything more
sensible. It had been my intention to smuggle a couple of sandwiches
into my helmet, but I was interrupted in the act, and had to make
an excuse and lay them aside, and a dog got them.

 Night approached, and with it a storm. The darkness came on fast.
 We must camp, of course. I found a good shelter for the demoiselle
under a rock, and went off and found another for myself."
Mark Twain::The Adventures of Tom Sawyer,Mark Twain,The Adventures of Tom Sawyer,84,238,"But the elastic heart of youth cannot be compressed into one constrained
shape long at a time. Tom presently began to drift insensibly back into
the concerns of this life again. What if he turned his back, now, and
disappeared mysteriously? What if he went away—ever so far away, into
unknown countries beyond the seas—and never came back any more! How
would she feel then! The idea of being a clown recurred to him now, only
to fill him with disgust. For frivolity and jokes and spotted tights
were an offense, when they intruded themselves upon a spirit that was
exalted into the vague august realm of the romantic. No, he would be
a soldier, and return after long years, all war-worn and illustrious.
 No—better still, he would join the Indians, and hunt buffaloes and go on
the warpath in the mountain ranges and the trackless great plains of the
Far West, and away in the future come back a great chief, bristling with
feathers, hideous with paint, and prance into Sunday-school, some drowsy
summer morning, with a blood-curdling war-whoop, and sear the eyeballs
of all his companions with unappeasable envy. But no, there was
something gaudier even than this. He would be a pirate! That was it!
_now_ his future lay plain before him, and glowing with unimaginable
splendor. How his name would fill the world, and make people shudder!"
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,73,206,"Had she found Jane in any apparent danger, Mrs. Bennet would have been
very miserable; but being satisfied on seeing her that her illness was
not alarming, she had no wish of her recovering immediately, as her
restoration to health would probably remove her from Netherfield. She
would not listen, therefore, to her daughter’s proposal of being carried
home; neither did the apothecary, who arrived about the same time, think
it at all advisable. After sitting a little while with Jane, on Miss
Bingley’s appearance and invitation, the mother and three daughters all
attended her into the breakfast parlour. Bingley met them with hopes
that Mrs. Bennet had not found Miss Bennet worse than she expected.

 “Indeed I have, sir,” was her answer. “She is a great deal too ill to be
moved. Mr. Jones says we must not think of moving her. We must trespass
a little longer on your kindness.”

“Removed!” cried Bingley. “It must not be thought of. My sister, I am
sure, will not hear of her removal.”

 “You may depend upon it, madam,” said Miss Bingley, with cold civility,
“that Miss Bennet shall receive every possible attention while she
remains with us.”

 Mrs. Bennet was profuse in her acknowledgments."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,440,243,"And their
mother had the satisfaction of knowing, that she should be able to show
her married daughter in the neighbourhood, before she was banished to
the north. When Mr. Bennet wrote again to his brother, therefore, he
sent his permission for them to come; and it was settled, that, as soon
as the ceremony was over, they should proceed to Longbourn. Elizabeth
was surprised, however, that Wickham should consent to such a scheme;
and, had she consulted only her own inclination, any meeting with him
would have been the last object of her wishes.

 [Illustration:

“With an affectionate smile”

[_Copyright 1894 by George Allen._]]

CHAPTER LI.

 [Illustration]

Their sister’s wedding-day arrived; and Jane and Elizabeth felt for her
probably more than she felt for herself. The carriage was sent to meet
them at----, and they were to return in it by dinnertime. Their arrival
was dreaded by the elder Miss Bennets--and Jane more especially, who
gave Lydia the feelings which would have attended herself, had _she_
been the culprit, and was wretched in the thought of what her sister
must endure.

 They came. The family were assembled in the breakfast-room to receive
them. Smiles decked the face of Mrs. Bennet, as the carriage drove up to
the door; her husband looked impenetrably grave; her daughters, alarmed,
anxious, uneasy.

 Lydia’s voice was heard in the vestibule; the door was thrown open, and
she ran into the room."
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,303,232,"The people that _buys_ the property is the
suff’rers; because as soon ’s it’s found out ’at we didn’t own it—which
won’t be long after we’ve slid—the sale won’t be valid, and it’ll all
go back to the estate. These yer orphans ’ll git their house back agin,
and that’s enough for _them;_ they’re young and spry, and k’n easy earn
a livin’. _ They_ ain’t a-goin to suffer. Why, jest think—there’s
thous’n’s and thous’n’s that ain’t nigh so well off. Bless you, _they_
ain’t got noth’n’ to complain of.”

 Well, the king he talked him blind; so at last he give in, and said all
right, but said he believed it was blamed foolishness to stay, and that
doctor hanging over them. But the king says:

“Cuss the doctor! What do we k’yer for _him? _ Hain’t we got all the
fools in town on our side? And ain’t that a big enough majority in any
town?”

So they got ready to go down stairs again. The duke says:

“I don’t think we put that money in a good place.”

That cheered me up. I’d begun to think I warn’t going to get a hint of
no kind to help me."
Mark Twain::The Adventures of Tom Sawyer,Mark Twain,The Adventures of Tom Sawyer,239,219,"Tom concluded to let Huck
lead up to the subject. If he did not do it, then the adventure would be
proved to have been only a dream.

 “Hello, Huck!”

“Hello, yourself.”

Silence, for a minute.

 “Tom, if we’d ’a’ left the blame tools at the dead tree, we’d ’a’ got
the money. Oh, ain’t it awful!”

“’Tain’t a dream, then, ’tain’t a dream! Somehow I most wish it was.
 Dog’d if I don’t, Huck.”

 “What ain’t a dream?”

“Oh, that thing yesterday. I been half thinking it was.”

“Dream! If them stairs hadn’t broke down you’d ’a’ seen how much dream
it was! I’ve had dreams enough all night—with that patch-eyed Spanish
devil going for me all through ’em—rot him!”

 “No, not rot him. _Find_ him! Track the money!”

 “Tom, we’ll never find him. A feller don’t have only one chance for such
a pile—and that one’s lost. I’d feel mighty shaky if I was to see him,
anyway.”

 “Well, so’d I; but I’d like to see him, anyway—and track him out—to his
Number Two.”

“Number Two—yes, that’s it. I been thinking ’bout that. But I can’t make
nothing out of it."
Jane Austen::Sense and Sensibility,Jane Austen,Sense and Sensibility,448,244,"She dreaded the performance of
it, dreaded what its effect on Marianne might be; doubted whether after
such an explanation she could ever be happy with another; and for a
moment wished Willoughby a widower. Then, remembering Colonel Brandon,
reproved herself, felt that to _his_ sufferings and _his_ constancy far
more than to his rival’s, the reward of her sister was due, and wished
any thing rather than Mrs. Willoughby’s death.

 The shock of Colonel Brandon’s errand at Barton had been much softened
to Mrs. Dashwood by her own previous alarm; for so great was her
uneasiness about Marianne, that she had already determined to set out
for Cleveland on that very day, without waiting for any further
intelligence, and had so far settled her journey before his arrival,
that the Careys were then expected every moment to fetch Margaret away,
as her mother was unwilling to take her where there might be infection.

 Marianne continued to mend every day, and the brilliant cheerfulness of
Mrs. Dashwood’s looks and spirits proved her to be, as she repeatedly
declared herself, one of the happiest women in the world. Elinor could
not hear the declaration, nor witness its proofs without sometimes
wondering whether her mother ever recollected Edward. But Mrs.
Dashwood, trusting to the temperate account of her own disappointment
which Elinor had sent her, was led away by the exuberance of her joy to
think only of what would increase it."
Jane Austen::Emma,Jane Austen,Emma,621,228,"She must
tell you herself what she is—yet not by word, for never was there a
human creature who would so designedly suppress her own merit.—Since I
began this letter, which will be longer than I foresaw, I have heard
from her.—She gives a good account of her own health; but as she never
complains, I dare not depend. I want to have your opinion of her looks.
 I know you will soon call on her; she is living in dread of the visit.
 Perhaps it is paid already. Let me hear from you without delay; I am
impatient for a thousand particulars. Remember how few minutes I was at
Randalls, and in how bewildered, how mad a state: and I am not much
better yet; still insane either from happiness or misery. When I think
of the kindness and favour I have met with, of her excellence and
patience, and my uncle’s generosity, I am mad with joy: but when I
recollect all the uneasiness I occasioned her, and how little I deserve
to be forgiven, I am mad with anger. If I could but see her again!—But
I must not propose it yet. My uncle has been too good for me to
encroach.—I must still add to this long letter. You have not heard all
that you ought to hear."
Jane Austen::Sense and Sensibility,Jane Austen,Sense and Sensibility,437,242,"Well, at last, as I need not tell you, you were forced on me; and what
a sweet figure I cut! what an evening of agony it was! Marianne,
beautiful as an angel on one side, calling me Willoughby in such a
tone! Oh, God! holding out her hand to me, asking me for an
explanation, with those bewitching eyes fixed in such speaking
solicitude on my face! and Sophia, jealous as the devil on the other
hand, looking all that was— Well, it does not signify; it is over now.
 Such an evening! I ran away from you all as soon as I could; but not
before I had seen Marianne’s sweet face as white as death. _ That_ was
the last, last look I ever had of her; the last manner in which she
appeared to me. It was a horrid sight! yet when I thought of her to-day
as really dying, it was a kind of comfort to me to imagine that I knew
exactly how she would appear to those, who saw her last in this world.
 She was before me, constantly before me, as I travelled, in the same
look and hue.”

 A short pause of mutual thoughtfulness succeeded. Willoughby first
rousing himself, broke it thus:

“Well, let me make haste and be gone. Your sister is certainly better,
certainly out of danger?”

“We are assured of it.”

“Your poor mother, too!—doting on Marianne.”"
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,435,261,"But when they had withdrawn, he said to her, “Mrs.
Bennet, before you take any, or all of these houses, for your son and
daughter, let us come to a right understanding. Into _one_ house in this
neighbourhood they shall never have admittance. I will not encourage the
imprudence of either, by receiving them at Longbourn.”

 A long dispute followed this declaration; but Mr. Bennet was firm: it
soon led to another; and Mrs. Bennet found, with amazement and horror,
that her husband would not advance a guinea to buy clothes for his
daughter. He protested that she should receive from him no mark of
affection whatever on the occasion. Mrs. Bennet could hardly comprehend
it. That his anger could be carried to such a point of inconceivable
resentment as to refuse his daughter a privilege, without which her
marriage would scarcely seem valid, exceeded all that she could believe
possible. She was more alive to the disgrace, which her want of new
clothes must reflect on her daughter’s nuptials, than to any sense of
shame at her eloping and living with Wickham a fortnight before they
took place.

 Elizabeth was now most heartily sorry that she had, from the distress of
the moment, been led to make Mr. Darcy acquainted with their fears for
her sister; for since her marriage would so shortly give the proper
termination to the elopement, they might hope to conceal its
unfavourable beginning from all those who were not immediately on the
spot.

 She had no fear of its spreading farther, through his means."
